Distance_m;Rayleigh_Peak_Amplitude;Brillouin_Peak_Amplitude;Rayleigh_Peak_Bin;Brillouin_Peak_Bin
0.00;0.268663;0.361946;105.0;221.000000
0.10;0.260173;0.354192;105.0;222.000000
0.20;0.251155;0.345039;105.0;224.000000
0.30;0.241595;0.334393;105.0;226.000000
0.40;0.231821;0.323041;104.0;228.000000
0.50;0.221933;0.311883;104.0;230.000000
0.60;0.212046;0.301815;104.0;232.000000
0.70;0.202564;0.293423;104.0;235.000000
0.80;0.193474;0.286376;104.0;238.000000
0.90;0.184826;0.280315;105.0;240.000000
1.00;0.177006;0.273829;105.0;242.000000
1.10;0.170333;0.265980;105.0;243.000000
1.20;0.164753;0.256578;105.0;244.000000
1.30;0.160292;0.245343;105.0;244.000000
1.40;0.157281;0.232786;105.0;244.000000
1.50;0.155644;0.219238;105.0;244.000000
1.60;0.155251;0.205398;105.0;243.000000
1.70;0.155818;0.192306;104.0;240.000000
1.80;0.156935;0.181667;104.0;236.000000
1.90;0.158531;0.176419;104.0;229.000000
2.00;0.160218;0.179927;104.0;204.000000
2.10;0.161847;0.187032;104.0;202.000000
2.20;0.163131;0.192936;104.0;201.000000
2.30;0.163957;0.197377;104.0;201.000000
2.40;0.164590;0.200471;104.0;201.000000
2.50;0.164967;0.202570;104.0;201.000000
2.60;0.165418;0.203937;104.0;201.000000
2.70;0.166343;0.204425;104.0;201.000000
2.80;0.167616;0.204480;104.0;201.000000
2.90;0.168810;0.204288;104.0;201.000000
3.00;0.170028;0.203975;104.0;202.000000
3.10;0.171412;0.203837;104.0;202.000000
3.20;0.172996;0.204039;104.0;202.000000
3.30;0.174291;0.204572;104.0;203.000000
3.40;0.175287;0.205382;104.0;203.000000
3.50;0.175550;0.206574;104.0;203.000000
3.60;0.174984;0.207924;104.0;203.000000
3.70;0.174477;0.209104;104.0;203.000000
3.80;0.174237;0.210032;104.0;202.000000
3.90;0.174244;0.210538;104.0;202.000000
4.00;0.174546;0.210799;104.0;202.000000
4.10;0.175176;0.210885;104.0;202.000000
4.20;0.176047;0.210683;104.0;202.000000
4.30;0.177046;0.210562;104.0;202.000000
4.40;0.177794;0.210678;104.0;202.000000
4.50;0.178670;0.210921;104.0;202.000000
4.60;0.179352;0.211680;104.0;202.000000
4.70;0.179621;0.212508;104.0;202.000000
4.80;0.179229;0.213300;104.0;202.000000
4.90;0.178252;0.213605;104.0;202.000000
5.00;0.176482;0.213704;104.0;201.000000
5.10;0.173998;0.213726;104.0;201.000000
5.20;0.171081;0.213581;104.0;201.000000
5.30;0.168358;0.213382;104.0;201.000000
5.40;0.165789;0.213017;104.0;201.000000
5.50;0.163572;0.212492;104.0;201.000000
5.60;0.161971;0.212063;105.0;201.000000
5.70;0.160887;0.211776;105.0;201.000000
5.80;0.160490;0.211665;104.0;201.000000
5.90;0.161190;0.211718;104.0;201.000000
6.00;0.162863;0.211766;104.0;202.000000
6.10;0.165168;0.211837;104.0;202.000000
6.20;0.167819;0.211853;104.0;202.000000
6.30;0.170787;0.212119;104.0;202.000000
6.40;0.173779;0.212243;104.0;202.000000
6.50;0.176554;0.212147;103.0;202.000000
6.60;0.178648;0.212005;103.0;203.000000
6.70;0.180461;0.211948;103.0;203.000000
6.80;0.181832;0.212154;103.0;204.000000
6.90;0.182500;0.212424;103.0;204.000000
7.00;0.182492;0.212535;103.0;203.000000
7.10;0.181921;0.212690;103.0;203.000000
7.20;0.181123;0.212837;104.0;203.000000
7.30;0.180119;0.213227;104.0;202.000000
7.40;0.179520;0.213683;104.0;202.000000
7.50;0.179571;0.213501;104.0;202.000000
7.60;0.180218;0.212724;104.0;202.000000
7.70;0.181322;0.211723;104.0;202.000000
7.80;0.182677;0.210823;104.0;202.000000
7.90;0.184271;0.210121;104.0;202.000000
8.00;0.185994;0.209912;104.0;202.000000
8.10;0.187507;0.210262;104.0;202.000000
8.20;0.188547;0.210788;104.0;202.000000
8.30;0.189010;0.211514;104.0;202.000000
8.40;0.188869;0.212372;104.0;202.000000
8.50;0.187645;0.213251;104.0;202.000000
8.60;0.185601;0.213842;104.0;202.000000
8.70;0.183024;0.213888;104.0;201.000000
8.80;0.179638;0.213745;104.0;201.000000
8.90;0.176062;0.213582;105.0;201.000000
9.00;0.172685;0.213316;105.0;202.000000
9.10;0.169655;0.213065;105.0;202.000000
9.20;0.167005;0.212666;105.0;202.000000
9.30;0.164672;0.211855;105.0;202.000000
9.40;0.162797;0.211105;104.0;201.000000
9.50;0.161370;0.210537;104.0;201.000000
9.60;0.160252;0.210081;104.0;201.000000
9.70;0.159293;0.209890;104.0;202.000000
9.80;0.158359;0.209780;104.0;202.000000
9.90;0.157785;0.209543;104.0;202.000000
10.00;0.157709;0.209097;104.0;202.000000
10.10;0.157659;0.208846;104.0;202.000000
10.20;0.158246;0.208875;104.0;203.000000
10.30;0.159291;0.208952;104.0;203.000000
10.40;0.160846;0.209061;103.0;203.000000
10.50;0.162605;0.209303;103.0;203.000000
10.60;0.164198;0.209700;103.0;203.000000
10.70;0.165357;0.210102;103.0;204.000000
10.80;0.166293;0.210325;103.0;204.000000
10.90;0.167117;0.210526;103.0;203.000000
11.00;0.167595;0.211258;104.0;204.000000
11.10;0.167944;0.212624;104.0;204.000000
11.20;0.167929;0.213947;104.0;204.000000
11.30;0.167613;0.214913;104.0;204.000000
11.40;0.166997;0.215394;104.0;204.000000
11.50;0.166119;0.215318;104.0;204.000000
11.60;0.165813;0.214963;105.0;204.000000
11.70;0.166098;0.214715;105.0;204.000000
11.80;0.166443;0.214296;104.0;204.000000
11.90;0.166631;0.213851;104.0;204.000000
12.00;0.166770;0.213274;104.0;204.000000
12.10;0.166765;0.212726;104.0;204.000000
12.20;0.166722;0.212415;104.0;205.000000
12.30;0.166525;0.212373;104.0;205.000000
12.40;0.165933;0.212830;104.0;206.000000
12.50;0.165036;0.213716;104.0;206.000000
12.60;0.163961;0.214636;104.0;207.000000
12.70;0.162909;0.215451;104.0;207.000000
12.80;0.162101;0.216261;104.0;207.000000
12.90;0.161395;0.216542;104.0;208.000000
13.00;0.160745;0.216383;104.0;208.000000
13.10;0.160108;0.216029;104.0;208.000000
13.20;0.159612;0.215522;104.0;208.000000
13.30;0.159199;0.214856;104.0;208.000000
13.40;0.159421;0.213770;104.0;208.000000
13.50;0.160142;0.212701;103.0;208.000000
13.60;0.161150;0.211664;103.0;207.000000
13.70;0.162250;0.210770;103.0;207.000000
13.80;0.163066;0.210271;103.0;206.000000
13.90;0.163483;0.209821;103.0;206.000000
14.00;0.163620;0.209632;103.0;206.000000
14.10;0.163815;0.210287;104.0;205.000000
14.20;0.163858;0.211144;104.0;205.000000
14.30;0.163999;0.211835;104.0;206.000000
14.40;0.164850;0.212416;104.0;206.000000
14.50;0.165833;0.212715;104.0;206.000000
14.60;0.166725;0.212624;104.0;206.000000
14.70;0.167357;0.212244;103.0;206.000000
14.80;0.167685;0.211767;103.0;205.000000
14.90;0.167939;0.210796;103.0;206.000000
15.00;0.168035;0.209604;104.0;206.000000
15.10;0.167789;0.208184;104.0;206.000000
15.20;0.167396;0.207129;104.0;206.000000
15.30;0.167110;0.206720;103.0;207.000000
15.40;0.167353;0.206494;103.0;208.000000
15.50;0.168012;0.206651;103.0;208.000000
15.60;0.169315;0.207471;103.0;209.000000
15.70;0.171276;0.208432;103.0;209.000000
15.80;0.173888;0.209496;103.0;209.000000
15.90;0.176564;0.210431;103.0;209.000000
16.00;0.179079;0.211053;103.0;209.000000
16.10;0.180938;0.211426;103.0;209.000000
16.20;0.181868;0.211619;103.0;209.000000
16.30;0.182157;0.211872;103.0;208.000000
16.40;0.181855;0.211910;103.0;208.000000
16.50;0.180992;0.211637;103.0;208.000000
16.60;0.180032;0.211604;103.0;208.000000
16.70;0.178534;0.211701;103.0;207.000000
16.80;0.176315;0.211701;103.0;207.000000
16.90;0.173655;0.211671;103.0;207.000000
17.00;0.170875;0.211753;103.0;207.000000
17.10;0.168297;0.211712;103.0;208.000000
17.20;0.165986;0.211641;103.0;208.000000
17.30;0.164205;0.211465;103.0;208.000000
17.40;0.163016;0.211018;103.0;208.000000
17.50;0.162323;0.210729;103.0;208.000000
17.60;0.161723;0.210887;103.0;207.000000
17.70;0.161758;0.211215;103.0;207.000000
17.80;0.162533;0.211746;104.0;207.000000
17.90;0.163972;0.212068;104.0;207.000000
18.00;0.165674;0.212189;103.0;207.000000
18.10;0.167674;0.212451;103.0;207.000000
18.20;0.169494;0.212757;103.0;208.000000
18.30;0.171030;0.212625;103.0;208.000000
18.40;0.172464;0.212362;103.0;208.000000
18.50;0.173643;0.212141;103.0;209.000000
18.60;0.174413;0.211722;103.0;209.000000
18.70;0.174619;0.211227;103.0;209.000000
18.80;0.174495;0.210829;103.0;209.000000
18.90;0.173959;0.210814;103.0;209.000000
19.00;0.173083;0.211068;103.0;209.000000
19.10;0.172041;0.211777;103.0;209.000000
19.20;0.170713;0.212564;103.0;209.000000
19.30;0.169474;0.213246;103.0;210.000000
19.40;0.168828;0.213781;103.0;210.000000
19.50;0.168479;0.214217;103.0;210.000000
19.60;0.168348;0.214596;103.0;210.000000
19.70;0.168598;0.214675;103.0;210.000000
19.80;0.169583;0.214517;103.0;210.000000
19.90;0.171256;0.214052;103.0;210.000000
20.00;0.173102;0.213064;103.0;210.000000
20.10;0.174748;0.212016;103.0;209.000000
20.20;0.175914;0.210774;103.0;209.000000
20.30;0.177105;0.209146;103.0;209.000000
20.40;0.178125;0.207327;103.0;208.000000
20.50;0.178732;0.206379;103.0;207.000000
20.60;0.178943;0.206425;103.0;207.000000
20.70;0.178993;0.207132;103.0;207.000000
20.80;0.179009;0.207740;103.0;207.000000
20.90;0.179109;0.207929;103.0;207.000000
21.00;0.179398;0.207697;103.0;207.000000
21.10;0.179882;0.207678;103.0;207.000000
21.20;0.180657;0.208190;103.0;207.000000
21.30;0.181570;0.209081;103.0;208.000000
21.40;0.182278;0.209997;103.0;208.000000
21.50;0.182801;0.210702;103.0;208.000000
21.60;0.183097;0.211100;104.0;209.000000
21.70;0.183401;0.211140;104.0;209.000000
21.80;0.183606;0.210945;104.0;209.000000
21.90;0.183716;0.210462;104.0;209.000000
22.00;0.183719;0.209641;104.0;210.000000
22.10;0.183428;0.208979;104.0;210.000000
22.20;0.182856;0.208332;104.0;210.000000
22.30;0.182161;0.207874;103.0;210.000000
22.40;0.181168;0.207615;103.0;210.000000
22.50;0.179846;0.207600;103.0;209.000000
22.60;0.178174;0.207626;103.0;209.000000
22.70;0.176422;0.207467;103.0;209.000000
22.80;0.174944;0.207169;103.0;208.000000
22.90;0.173867;0.206586;103.0;208.000000
23.00;0.173135;0.206006;103.0;208.000000
23.10;0.172723;0.205864;103.0;208.000000
23.20;0.172508;0.206152;103.0;208.000000
23.30;0.172475;0.206422;103.0;208.000000
23.40;0.172576;0.206346;103.0;207.000000
23.50;0.172898;0.205887;103.0;207.000000
23.60;0.173243;0.204934;103.0;207.000000
23.70;0.173771;0.203846;103.0;207.000000
23.80;0.174231;0.203263;103.0;207.000000
23.90;0.174642;0.203201;103.0;207.000000
24.00;0.174785;0.203563;103.0;207.000000
24.10;0.174791;0.204242;103.0;207.000000
24.20;0.174707;0.205006;103.0;208.000000
24.30;0.174661;0.205665;103.0;208.000000
24.40;0.174264;0.206390;103.0;208.000000
24.50;0.173661;0.207015;103.0;208.000000
24.60;0.172988;0.207794;103.0;207.000000
24.70;0.172209;0.208714;103.0;207.000000
24.80;0.171230;0.209644;103.0;207.000000
24.90;0.170454;0.210148;103.0;207.000000
25.00;0.169879;0.210262;103.0;207.000000
25.10;0.169519;0.210079;103.0;207.000000
25.20;0.169141;0.209966;104.0;208.000000
25.30;0.168892;0.209560;103.0;208.000000
25.40;0.168700;0.209069;103.0;208.000000
25.50;0.168724;0.208351;103.0;209.000000
25.60;0.168802;0.207865;103.0;209.000000
25.70;0.168440;0.207467;103.0;209.000000
25.80;0.167907;0.206962;103.0;209.000000
25.90;0.167208;0.206631;103.0;209.000000
26.00;0.166541;0.206440;103.0;208.000000
26.10;0.166114;0.206334;103.0;208.000000
26.20;0.165868;0.206477;103.0;208.000000
26.30;0.165473;0.207110;103.0;208.000000
26.40;0.165186;0.208135;103.0;208.000000
26.50;0.165162;0.209420;103.0;208.000000
26.60;0.165755;0.210815;104.0;208.000000
26.70;0.166480;0.211778;104.0;208.000000
26.80;0.167217;0.212112;104.0;208.000000
26.90;0.168351;0.212143;104.0;208.000000
27.00;0.169959;0.211988;104.0;208.000000
27.10;0.172130;0.211315;104.0;208.000000
27.20;0.174673;0.210259;104.0;208.000000
27.30;0.177613;0.209091;103.0;208.000000
27.40;0.180809;0.207935;103.0;207.000000
27.50;0.183699;0.206714;103.0;207.000000
27.60;0.185969;0.205729;103.0;207.000000
27.70;0.187691;0.204959;103.0;208.000000
27.80;0.189064;0.204454;103.0;208.000000
27.90;0.189838;0.204173;103.0;208.000000
28.00;0.189648;0.204203;103.0;207.000000
28.10;0.188553;0.204520;103.0;207.000000
28.20;0.186785;0.204937;104.0;207.000000
28.30;0.184371;0.205412;104.0;206.000000
28.40;0.181083;0.205984;104.0;206.000000
28.50;0.177216;0.206461;104.0;206.000000
28.60;0.173278;0.206989;103.0;206.000000
28.70;0.169876;0.207457;103.0;206.000000
28.80;0.167122;0.207707;103.0;206.000000
28.90;0.165040;0.207994;103.0;207.000000
29.00;0.163516;0.208278;103.0;207.000000
29.10;0.162351;0.208446;103.0;207.000000
29.20;0.161745;0.208497;103.0;207.000000
29.30;0.161704;0.208225;103.0;207.000000
29.40;0.162051;0.207802;103.0;207.000000
29.50;0.162468;0.207266;103.0;207.000000
29.60;0.162766;0.206593;103.0;207.000000
29.70;0.162818;0.205855;103.0;207.000000
29.80;0.162723;0.204793;103.0;207.000000
29.90;0.162601;0.203926;103.0;206.000000
30.00;0.162706;0.203726;103.0;206.000000
30.10;0.163125;0.203786;103.0;206.000000
30.20;0.163789;0.204012;103.0;205.000000
30.30;0.164767;0.203891;103.0;205.000000
